5 - Temperature,6 - Temperature,8 - Temperature,T-101 - Spec Value (Reflux Ratio),T-101 - Spec Value (Distillate Rate),T-100 - Spec Value (Distillate Rate),10 Out - Master Comp Molar Flow (diM-Ether),15 - Master Comp Molar Flow (Methanol),SPRDSHT-1 - A10: Q_sum
259.98855888904814,359.9950550957294,99.20236085703874,1.9918054340217362,79.97940483529425,129.997253216643,129.96465732980982,0.05354097070870095,54338960.13001882
259.9699252907643,359.9929608689051,109.99266635165232,1.3000943459913574,60.000238886749045,110.00023977221443,110.00921012818547,35.52786095868047,42782218.713333465
259.972185934371,359.99981053783455,109.27765810573135,1.9942227350622843,79.99939572934942,129.9999637911234,128.89724747284507,0.032406886256768415,48192660.841964066
259.95354252866497,359.9999742320581,109.95944438222328,1.303133219412342,60.03263497358766,115.07868622957628,115.05937353045385,26.50930900790246,44449005.18879451
259.9797839884325,359.9932850394058,109.79024744414238,1.3000700594543502,60.015419691548004,129.99989128406366,124.80211975988834,4.493607977187779,44462718.31754613
259.9890404982861,359.9974173706556,109.79262203994752,1.3029369504131396,63.086763751689546,129.99989152943908,125.64098044886825,3.6838913220811818,45079271.00574447
259.98552923884597,359.9981493346921,91.5507130727976,1.413847262510883,79.99998009600897,129.99983956161103,129.39118217150138,0.1687954530721032,45894773.834282
259.99729801794683,359.99727394036523,107.26046719215017,1.9035401355694488,79.99605786319715,129.995017555392,129.00347934018325,0.052157870914658164,47770652.88626691
259.98514366060544,359.997371205753,109.98292328314007,1.993851231338747,79.998996257156,129.99934954378224,128.83205444620475,0.03404086491645709,47819162.37016339
259.9734125309519,359.99735819268693,91.42169901906149,1.307369050179537,79.9992278088797,129.99920192532826,129.32407200450265,0.2149637305832891,45141574.79921826
259.9849401824313,359.9955670876923,93.45526645122347,1.9921677579951458,79.99550641764674,129.99967782545357,129.89935752125427,0.04248867561979337,51995477.827264234
259.97211744712473,359.99738493985376,94.4363492979752,1.9943702281042546,79.89407197395688,129.99721073832475,129.9020926936838,0.05608129869387453,52465244.14713994
259.955279346802,359.9993158674261,97.55401569717822,1.9929618451263227,79.97942647819933,129.9999614586383,129.9488680825982,0.046656132308047084,53699970.73743325
259.9724748598476,359.9994010999873,109.58594271827911,1.302467824870217,61.90492286961722,129.99992245325365,125.3216153783111,3.9925930205548883,44850329.711240426
259.9825925409159,359.99767252796704,96.80439122188679,1.9920088897365353,79.99970305497709,129.9996738435996,129.9408914369385,0.04437555814348859,53359401.39109357
259.302169225206,359.99986728197047,109.88364483619468,1.303052384839047,60.03263497358766,112.28385605160241,112.28149371947427,31.508319818090882,43595365.15032249
259.9730527696335,359.992799367439,109.78858255441037,1.3005408043337292,61.16497146166713,129.9999043940949,125.11110070062986,4.195193764761588,44682480.1141641
259.9795367073902,359.99556966397444,109.86979515417393,1.3108667325122576,60.03263589469677,113.85642401482814,113.8429526430571,28.70584387449441,44094191.47888653
259.98962753466185,359.9992504828507,90.04384051683886,1.864864716419373,79.81660858194834,129.9871175269586,129.70495651785586,0.08777774874937241,49505927.368619315
259.954047886149,359.995491999957,90.04807436285735,1.949297379486611,79.98052018578046,129.9999591459471,129.81286483587084,0.04568771665894902,50240761.23160274
259.70810695605974,359.9681900757932,109.99572932277448,1.3003181164543252,60.07100674277783,113.0890419497396,113.0799105611809,30.052765633307594,43811377.760703415
259.9847664339168,359.9955070089626,106.26458961486695,1.983654104159918,79.97979143891403,129.99999875461137,129.2292622549763,0.04353161443719811,50074811.833863094
259.6420186255848,359.99553869895055,106.9186084326342,1.9413641429300266,79.99550641764674,129.999674521555,129.07800664303574,0.051836578817441255,48837830.79041997
259.9595132598594,359.9997693803185,98.7600876114781,1.9824969145466602,79.99436235335438,129.99929830944276,129.95416924166773,0.04825803141486588,54086234.56349228
259.54309708013534,359.9652837727905,109.98480782711394,1.30003959216601,60.06288669800636,114.55550658695975,114.5351485995045,27.45571050897734,44291239.53186869
259.9560073695878,359.9999448145652,109.94789118221442,1.3000395990376608,60.01008518445223,113.43445190198821,113.42433243328145,29.42153714769048,43905897.05540123
259.9814791861356,359.96873315116716,109.99572932277448,1.3004675392522822,60.07100674277783,112.49885184436386,112.4940337338102,31.09215520363858,43605575.84355367
259.98244756577554,359.9994271159887,107.4203926832289,1.9854899163810904,79.99403748348512,129.996071084255,129.09795104241368,0.043418735612486714,49298758.03336136
259.98332581305084,359.9972159870056,91.4229941957697,1.3610503520562238,79.99785864829076,129.9951853183323,129.36015818701213,0.19863748452857144,45537209.888856985
259.9969032518611,359.99835371101744,107.03332051590574,1.9354032766612042,79.99976678237267,129.99988196569944,129.07716550254293,0.040711540564209156,48555336.31014994
259.95978078961565,359.9997636116516,98.31395839153434,1.984060979732114,79.99904068009602,129.99967627433554,129.95112310228146,0.046615757687965526,53916720.63331998
258.875615424052,359.8342317118075,109.99818414845477,1.3000856331838362,60.096057902308104,112.79621870692236,112.79229387377703,30.626349419738304,43785720.77737832
259.98186692128957,359.9685489334888,109.9927108451374,1.3000856304041264,60.096057902308104,112.79638849196843,112.78997636623973,30.565365121714883,43703896.227939725
259.96808039582834,359.9997788741601,109.98345974338861,1.3002658004795562,60.00465421451243,111.70695145759981,111.7064054792541,32.49319735231712,43337126.22296353
259.98552923884597,359.99777509392726,91.42594721686173,1.4124677261349146,79.9999636191958,129.99983956161103,129.39052754582838,0.1694988431536605,45883025.67094774
259.99405414955834,359.9976615604659,109.96454207528308,1.3000086267131883,60.000296473444344,114.0715074147619,114.05703957623467,28.28766679659909,44104234.73128764
