4 - Temperature,5 - Temperature,6 - Temperature,8 - Temperature,VLV-100 - Pressure Drop,P-100 - Delta P,10 - Master Comp Molar Flow (diM-Ether),14 - Master Comp Molar Flow (Methanol),SPRDSHT-1 - B1:
140.0,260.0,357.127612750985,109.99999999999999,20.00000001046467,1500.000000002185,128.48832955812708,2.1720982978994985,30290489.757267322
140.0,260.0,359.9999999999937,109.99999999999997,20.000000000000004,1500.000000000837,128.56894999999983,1.9906720000003988,30349083.608562868
140.0,260.0,353.21151935875366,110.0,20.000000000002835,1500.0000001221397,128.37841499844993,2.419447371958584,30210605.33570567
140.0,260.0,350.0000263231712,109.99999999999999,20.00000001548897,1500.0000000345156,128.2882767388231,2.6222923373702605,30145094.062659767
140.0,259.9999999999994,351.2685140462867,109.99999999999676,20.395791858338733,1500.0038862050724,128.3238830197094,2.54216289914553,30170998.025025565
140.0,260.0,355.91180825693834,110.0,20.000000000027967,1500.0000000018472,128.4542050870708,2.2488911845136097,30265688.551317036
140.0,260.0,351.37558035142126,109.99999999999154,20.00000287641515,1499.9989916888055,128.32688496578913,2.535409316631571,30173154.010946617
140.0,260.0,350.8166602453046,109.99999999999999,20.00000000001657,1499.9999999799759,128.31119752976912,2.5707119422539804,30161752.584803913
140.0,260.0,354.3171488467724,109.99999999999994,20.000001252174457,1501.1053954048361,128.40944765866604,2.3496138718775903,30233161.587793794
140.0,260.0,351.00261340900835,109.99999999999996,20.000000000016666,1500.0000000011403,128.316416751596,2.5589667313375335,30165545.844931122
140.0,260.0,360.0,110.0,20.000000000000206,1000.0000000001867,128.569848,1.9896650000000002,30354073.208367
140.0,260.0,354.8849833729349,109.99999999999997,20.000000126935294,1500.0035103255855,128.42538478395835,2.313747704757719,30244742.349968866
140.0,259.9999999999993,351.1814036055993,109.99999999999677,20.395791858338733,1500.0038862050724,128.32143805612645,2.547664986222318,30169221.058424093
140.0,260.0,356.2250086336032,109.99999999999999,20.000000000013184,1499.9947112196048,128.4629958168214,2.229108749031025,30272077.58117394
140.0,259.99999980300566,355.75420298970255,109.99999999999996,20.00000011349019,1499.99997754495,128.44978151213235,2.2588458856501745,30262473.57427777
140.0,260.0,355.41400491288147,110.0,20.000000124799627,1587.9043032980783,128.44027400489813,2.280372568399436,30255733.213747114
140.0,260.0,350.42432665923036,109.99999999999997,20.000000007788724,1500.0000000008633,128.30018574607536,2.5954925946841847,30153749.368730634
140.0,260.0,354.1118077468301,109.99999999999686,20.00000603168588,1500.0279753104674,128.4036837658375,2.362583189017588,30228970.389867146
140.0,260.0,353.78971910178757,109.99999999999991,20.000000184796622,1500.0001832934227,128.39464356200438,2.38292700422627,30222400.03748394
140.0,260.0,351.5227441377141,109.9999999999999,20.00000001384965,1500.0284800481131,128.33101548208268,2.5261141428697034,30176156.060566857
140.0,259.99999999999255,356.5355932233152,109.99999999999999,20.000000005382198,1504.10513091001,128.4717150222269,2.2094933763885423,30278422.45598643
140.0,259.9999999948437,354.75836364237506,109.99999999991583,20.000090722613272,1500.0209783005457,128.42183090606028,2.3217452913582104,30242159.47944117
140.0,260.0,353.56835168797807,109.99999999999707,20.0000000156601,1500.0005755932407,128.3884303544355,2.3969090572688008,30217884.362652954
140.0,260.0,353.0406216856306,109.99999999999963,20.000001047761558,1499.9775824995713,128.3736183853694,2.4302415997952864,30207119.41643813
140.0,259.99999999449557,351.690724499046,109.99999999999996,20.00000011349019,1499.99997754495,128.33573024070876,2.5155041211599047,30179582.62937924
140.0,259.99999999997874,355.0742338998247,109.99999999999999,20.000000014530706,1504.26873630751,128.43069854179063,2.3017961188917053,30248612.54607617
140.0,259.99999999999955,352.4516402089273,109.99999999203186,20.00065011608424,1500.0038862050724,128.35708717334705,2.4674429977956454,30195104.60984855
140.0,260.0,350.0000263231712,109.99999999999999,20.00000001608475,1500.0000000345156,128.2882767388231,2.622292337370247,30145094.062659808
140.0,259.99999999999994,352.5073782079124,109.99999992906017,20.000057061683968,1494.8627323864512,128.35866081408787,2.463912128412091,30196292.827104576
140.0,260.0,352.9611593141858,109.99999999995146,20.000000015353315,1576.8052062823233,128.3714238341612,2.4352947646767724,30205672.424556814
140.0,260.0,357.0179867680556,109.99999999999997,24.723507909838116,1496.1171227652362,128.48529693117374,2.17890770858981,30288627.144644074
140.0,259.9999999999998,359.0621303129401,109.99999999999993,20.00031252639076,1499.998427917994,128.5426264416378,2.0499099025031255,30329952.03489097
140.0,260.0,358.6823215046079,109.99999999776581,21.234795283994192,1515.017745666979,128.53198294375068,2.073878172427434,30322325.880671617
140.0,259.9999999999993,356.92630051603015,109.99999999999676,20.00670061994476,1481.1285331499685,128.48271319319295,2.1847754626431426,30286571.984531824
140.0,260.0,358.3411380052634,109.99999999999686,20.00000603168588,1500.0279753104674,128.52239006993307,2.095449385368371,30315244.53285781
140.0,259.9999999949571,353.6767329825183,109.99999999583244,20.000000133915872,1500.000123326784,128.39147233524665,2.3900634562109104,30220095.233078707
140.0,259.99999999495475,354.60136114324644,109.99999999981809,20.000002190187047,1500.0209783005457,128.4174242534196,2.3316619166106713,30238956.777879305
140.0,260.0,354.7038910836078,109.99999999999999,20.000004317208656,1500.1522067627418,128.4203020635625,2.325185958080965,30241048.584381852
140.0,259.9999999999994,354.3950527622467,109.99999999999991,20.000000000064524,1500.0000000149535,128.41163370389904,2.344692798420447,30234748.243411396
140.0,260.0,354.51089553377716,109.99999999999999,20.00000000186336,1499.999999996136,128.41488510930475,2.3373759141164103,30237111.321067937
