5 - Temperature,6 - Temperature,8 - Temperature,T-101 - Spec Value (Reflux Ratio),T-100 - Spec Value (Reflux Ratio),VLV-100 - Pressure Drop,10 Out - Master Comp Molar Flow (diM-Ether),15 - Master Comp Molar Flow (Methanol),SPRDSHT-1 - A10: Q_sum
259.99999984166647,359.9999999989544,109.99828486235167,1.5342245412015199,1.0351577956337867,88.33418931031684,128.2287366350517,0.5127630153511198,48055431.79905591
259.99999999389604,359.99999998416564,109.9999939477113,1.32244418288603,1.9139577117673328,798.2817266431127,127.9678699594106,1.0404324341402664,46090750.10750561
259.9999999899748,359.9999999973605,109.99565110707165,1.6935862342698307,1.866840571530081,219.8736127304487,128.4062679944555,0.20602511342766822,49513686.97168497
259.9999999923541,359.9999999129663,109.99591867829776,1.5275488756043458,1.0044287263649618,10.171472244808456,128.218884513164,0.5288632145952844,47984302.72364996
259.99999997253786,359.9999999052248,109.9972295368739,1.7413933312657022,1.0354602129615298,535.0846272172666,128.40183061941258,0.18628011560865448,49687333.677511305
259.9999999858353,359.99999999820193,109.99830027921817,1.671383050630374,1.0300087610666144,179.72565150623777,128.37765579031435,0.21415432273664245,49255361.73932118
259.9999999917366,359.99999999461113,109.99814573714588,1.7849360090232942,1.0093309930821097,290.52995518017985,128.4114967530985,0.16828392249017987,49925022.98416938
259.9999999917452,359.9999999133214,109.99784235505645,1.9286449833344217,1.0433994119961967,163.31365616584986,128.45634418881548,0.10887969474053312,50784667.21205744
259.9999999819102,359.9999999997484,109.48110366775052,1.9999991727570923,1.8961589524703253,724.8604741923765,128.47863520505504,0.07920077540619593,51224907.39731479
259.999999970722,359.99999999959925,109.80313340910723,1.4771902861038997,1.0611711484627464,490.1662856425171,128.15665063728048,0.6546594032998185,47520318.050451405
259.9999999568955,359.9999999991699,109.97321526097048,1.6411541210120297,1.0728032363882531,713.913288851434,128.38263497263048,0.24640885266203527,49176386.19002617
259.9999999768756,359.99999999556934,109.99913414408861,1.6722045913969956,1.9319262334176681,682.1455483490901,128.40121955653973,0.21484728026841524,49395106.88868751
259.9999999688052,359.9999999532072,109.99173586982725,1.5467864376672442,1.9110119951963083,711.642093159949,128.26107919876372,0.4812798967774038,48269807.26148963
259.9999999470423,359.9999999948517,109.68669894753141,1.3948496984434802,1.0901354427606835,669.7459316326097,128.059458627317,0.8598859843215418,46783894.6282937
259.9999999920269,359.99999991147496,109.95881235564492,1.6167379832304973,1.9649115153226178,160.9952426862669,128.35250707014487,0.30698758726474357,48949966.07726181
259.9999999909495,359.9999999820547,109.98318024266574,1.403748752106743,1.7798603361231295,145.59134613039544,128.0741323321404,0.8378148431367414,46880761.01120866
259.99999997878217,359.99999999887706,109.99709572511063,1.4156448622635713,1.8051469920953072,710.5827193032637,128.0896807527429,0.8081362373762966,46996001.49275677
259.99999998616266,359.9999998724536,109.70317233507654,1.813956339957359,1.0295208321769345,137.31504373687457,128.42210331329704,0.15599396712865843,50115127.213758625
259.9999999667159,359.9999999981506,99.99619120526202,1.999999349668993,1.9242731709196843,724.8604741923765,128.4790628132933,0.07917891785471182,51468635.49606133
259.9999999852417,359.99999999820386,109.93227689690266,1.428323977188103,1.064403459716003,508.6965003849641,128.09650073469177,0.7764071626470604,47064094.37037109
259.9999999972038,359.99999994610425,109.95959580660254,1.3859866598080917,1.8044437383875231,603.2970665511292,128.05091686367578,0.8820649021736092,46708859.00693536
259.9999999876475,359.99999999817885,109.99998902821403,1.3080486261585407,1.0001836739482735,19.513538916434072,127.9484438786065,1.0794528792127698,45946947.760388404
259.9999999905349,359.99999999248126,109.99721502928068,1.7515822255958868,1.6300505916833643,711.5442966055725,128.4199607423754,0.18203081888597067,49835011.973983996
259.9999999917176,359.99999999777674,109.99999376280569,1.3000000923042516,1.0000774113591482,16.567542267218673,127.93853611093274,1.0995322902451885,45872318.96419021
259.999999999925,359.99999999945976,109.9972295368739,1.7359082129920316,1.0345907708122377,720.0331269585104,128.41278385122564,0.1887273397063179,49727945.15399732
259.9999999819102,359.9999999997484,109.83700878237,1.9999991727570923,1.0413638298214676,724.8604741923765,128.47861909010328,0.07924160599222198,51215702.517270006
259.9999995568416,359.9999999532072,109.73952409826153,1.3820515571406389,1.0338273049029199,731.9283601569384,128.0437322610608,0.891737526241003,46664088.504298925
259.99999995748414,359.99999988370416,109.28881463477794,1.4858385756173051,1.8067042997826088,225.15202884375552,128.1813964920241,0.6332348310495802,47694857.7845714
259.99999995322037,359.99999995223016,109.63665817203247,1.4469019465621997,1.0226987023250556,78.93873735208331,128.12055578118077,0.7317269461153577,47250690.03154115
259.999999999925,359.99999999945976,109.99808504786907,1.3480893050512908,1.0345907708122377,721.6705848867384,127.9980250968537,0.9762895594047664,46320255.20692903
259.9999999735944,359.99999999446806,109.99730855699737,1.706988526692679,1.0103164627852876,219.8736127304487,128.38771993680749,0.1998469089266015,49462160.27675627
259.9999999872128,359.99999999997686,109.95068599356074,1.5149980730198245,1.0641268318978532,506.6972012901028,128.20357525814396,0.560461982017926,47869484.98676921
259.9999999688052,359.9999999532072,109.99991101057743,1.5958446417797814,1.9359238736752962,711.6461579230651,128.32519730516472,0.3590094239460951,48746070.9071385
259.9999996089619,359.99999999427064,109.04658141397941,1.6453128702489024,1.0408249991173386,167.83772496442455,128.36572512473055,0.2345796937326836,49111045.6000085
259.99999998722154,359.99999999471004,109.97857569858472,1.5194030267148304,1.1077645856182337,672.3423081975772,128.22259117869316,0.5497020734037877,47988461.05425571
