5 - Temperature,6 - Temperature,8 - Temperature,T-101 - Spec Value (Reflux Ratio),T-100 - Spec Value (Reflux Ratio),VLV-100 - Pressure Drop,10 Out - Master Comp Molar Flow (diM-Ether),15 - Master Comp Molar Flow (Methanol),SPRDSHT-1 - A10: Q_sum
259.99987187422676,359.9999968148635,109.98792712102541,1.999656546793723,1.929360185861216,650.9119872158449,128.47851755867597,0.07937078246681131,51210076.73255025
259.99996592203155,359.99999889100184,109.99879361530047,1.3002698007202262,1.8935383497188858,645.427452473173,127.93888310321955,1.0957114312609748,45875427.85352297
259.99986931372854,359.9999968148635,108.68808098590935,1.9995621133674517,1.868515963736887,405.1655539336448,128.47855364186842,0.07940893505233372,51242964.814117104
259.9992539744392,359.9994433118423,109.93772292312768,1.5885754929731906,1.1343973443406492,636.7201276892159,128.3117310703156,0.3782208030917524,48656957.63850649
259.99998712963804,359.999971647298,109.99174125719804,1.4118749492267717,1.8724546144814436,751.7696186501332,128.08473472581707,0.8175703159881227,46959533.7021577
259.99996549493454,359.99997302537497,109.8843767069503,1.4006348890982276,1.8518849011721816,713.650497148575,128.07003814058885,0.8455941919725818,46852979.77797974
259.9987539997565,359.999999128894,109.92607944559607,1.5984400895622606,1.8931465089299966,667.1291704636824,128.32841022695143,0.35290177763416364,48773545.93113561
259.99997201343143,359.99994929796406,109.99864765904516,1.7334448415085855,1.9904541293938447,796.0233931279059,128.41564694104866,0.1895586667882161,49734532.42928095
259.9999889443731,359.99999135699534,109.93896775636226,1.4175142650905874,1.903318791557091,696.7111768762187,128.09211522356088,0.803492718148171,47015577.7946869
259.9999732699153,359.99995125701366,109.95727581320419,1.7017740942948922,1.9621088529006248,684.1604779904537,128.4081734454534,0.2026671240699106,49560093.99925328
259.99975093026256,359.999730195953,109.68536658047996,1.750204730083188,1.9778801706256917,701.1527503956625,128.41948346415282,0.18289760657378618,49835773.917614065
259.9999459724558,359.9999096946915,109.98357030159177,1.5069464393731036,1.3146093444430358,558.6039008512039,128.20895013688786,0.580865459543337,47883088.056516945
259.99803044322243,359.9992424097165,109.94175701387317,1.577435734390925,1.920889577796829,661.5401827645559,128.30042642524938,0.4063129472688875,48569834.41259727
259.9999971152078,359.99997826883913,109.98777776803685,1.5158946090202639,1.4042502874291638,798.9735216014103,128.22069150670382,0.558414558955003,47969822.72265966
259.9998868400098,359.9999990894215,109.99996991842602,1.600889705217967,1.9903080215734457,795.8094202146735,128.33177456957705,0.3464587173629048,48795121.14888056
259.99986196973805,359.99999775330565,109.96127727162835,1.6453809106281427,1.9915440722618636,773.4541490934155,128.38992174034294,0.23557760610557313,49228237.49141264
259.99999748368555,359.99996468593,109.99865998852019,1.8512565499351081,1.968916863173844,788.3959294607525,128.44347345597123,0.14079059132658758,50387359.15954324
259.9991747786078,359.9999968915435,109.98697704483132,1.4481674707295507,1.8980020362905434,736.8048286860984,128.13206810610023,0.7273103114177455,47312438.3625075
259.9992366768103,359.99944498608846,109.70832498807027,1.5303248491657284,1.1589293654265815,631.0020568753685,128.23712362432482,0.5233941288808266,48105691.05766674
259.99986815225003,359.99995879515745,109.96299048073939,1.5355958262090403,1.9467143493616983,752.5062991718768,128.24640924145584,0.5092543232351742,48161888.13237445
259.99969767841657,359.99994587903456,109.9628673818958,1.339823476074421,1.8946877258127504,404.45572459919845,127.99050943387154,0.9972736650988256,46260574.76640398
259.9998076120496,359.9999506707696,109.97699434766855,1.5489739543901133,1.3448081666650258,776.3932334542197,128.26388250334483,0.47609834972588133,48291442.5891512
259.99312903028726,359.9997942018911,109.99359561745982,1.36808784978412,1.9936449615519694,10.1235882989522,128.02614474110027,0.9294501162454076,46535350.53334914
259.999977185182,359.99999797496577,109.99931180161931,1.609442928241195,1.9744186354456779,799.5747787161505,128.34296549753915,0.3251165459603528,48878172.72099665
259.9999353461825,359.9999540762069,109.98740371263159,1.4972685705859548,1.99102749093309,505.9205413184873,128.19632655049935,0.6047683309537462,47789058.95066506
259.9998981628076,359.9999977370526,109.99759879007958,1.9069922908957475,1.852158666794051,672.2990574288153,128.4566420846391,0.11773102455210684,50696274.6997602
259.99998564598684,359.9999272926686,109.98179563538768,1.4385564816869547,1.9688764928503908,718.9589353926069,128.11957989183233,0.7511224757348658,47218929.04655982
259.99992814210765,359.9999978459731,109.99728445895954,1.4253422986839226,1.8314860866858418,678.5762614345039,128.10234362628307,0.7839886663795121,47090209.52789367
259.9999703286346,359.9999989711724,109.99826075214433,1.8198276966102864,1.8935376555379744,645.427452473173,128.43607002584886,0.15377774045941814,50213194.46817462
259.99997566514793,359.9999992876558,109.9919845451135,1.8257332006944968,1.8920205994174308,695.3785912126847,128.4374652741783,0.1513331190603175,50246073.59030244
259.9999231483523,359.99989071488307,109.99126622434348,1.4716749891995822,1.920252513380278,689.744054331625,128.16283471344997,0.6686378141558229,47540387.48345586
259.99998821198704,359.9999754815668,109.98829668908348,1.317214100436801,1.928171944195625,782.8588464973843,127.96101773639286,1.0535012288261782,46040250.800737396
259.9987539997565,359.99998538602733,109.92607944559607,1.6569512446635732,1.8931465089299966,667.1291704636824,128.39749596935718,0.2214178604150825,49313271.83195509
259.9943630057254,359.9999280001484,109.87979098819717,1.3239133770536726,1.830797240357187,717.1837708408548,127.96894623297517,1.0384350890549081,46110144.749322526
259.9999971152078,359.99997707124675,109.98789261506121,1.4827841416693095,1.4280980344812069,770.8590938298929,128.17741630101432,0.6409174745582183,47648254.949248545
