State;5 - Temperature;6 - Temperature;8 - Temperature;T-101 - Spec Value (Reflux Ratio);T-101 - Spec Value (Distillate Rate);T-100 - Spec Value (Distillate Rate);10 Out - Master Comp Molar Flow (diM-Ether);15 - Master Comp Molar Flow (Methanol);SPRDSHT-1 - A10: Q_sum
Case 62;240.00;340.00;90.00;2.00;80.00;116.67;110.77;32.25;57759409.60
Case 63;240.00;340.00;90.00;2.00;80.00;123.33;110.95;25.43;59365234.74
Case 64;240.00;340.00;90.00;2.00;80.00;130.00;111.02;18.71;60815618.18
Case 65;240.00;340.00;96.67;1.30;60.00;110.00;105.57;43.76;48655115.17
Case 66;240.00;340.00;96.67;1.30;60.00;116.67;105.77;37.04;48802398.23
Case 67;240.00;340.00;96.67;1.30;60.00;123.33;105.84;30.40;48430112.38
Case 68;240.00;340.00;96.67;1.30;60.00;130.00;105.83;23.85;48099502.32
Case 69;240.00;340.00;96.67;1.30;66.67;110.00;106.86;42.52;49814980.25
Case 70;240.00;340.00;96.67;1.30;66.67;116.67;107.16;35.71;49913547.52
Case 71;240.00;340.00;96.67;1.30;66.67;123.33;107.21;29.04;49409733.41
Case 72;240.00;340.00;96.67;1.30;66.67;130.00;107.22;22.48;48974071.92
Case 73;240.00;340.00;96.67;1.30;73.33;110.00;108.18;41.27;50932820.19
Case 74;240.00;340.00;96.67;1.30;73.33;116.67;108.50;34.39;51095870.55
Case 75;240.00;340.00;96.67;1.30;73.33;123.33;108.57;27.69;50461827.41
Case 76;240.00;340.00;96.67;1.30;73.33;130.00;108.58;21.12;49929342.91
Case 77;240.00;340.00;96.67;1.30;80.00;110.00;109.39;40.09;51989982.62
Case 78;240.00;340.00;96.67;1.30;80.00;116.67;109.79;33.14;52172119.65
Case 79;240.00;340.00;96.67;1.30;80.00;123.33;109.92;26.40;51586460.89
Case 80;240.00;340.00;96.67;1.30;80.00;130.00;109.93;19.75;50963511.81
Case 81;240.00;340.00;96.67;1.53;60.00;110.00;105.88;43.52;49433172.62
Case 82;240.00;340.00;96.67;1.53;60.00;116.67;106.13;36.75;51098448.92
Case 83;240.00;340.00;96.67;1.53;60.00;123.33;106.20;30.07;51614997.47
Case 84;240.00;340.00;96.67;1.53;60.00;130.00;106.23;23.48;51537021.34
Case 85;240.00;340.00;96.67;1.53;66.67;110.00;107.23;42.25;50670233.03
Case 86;240.00;340.00;96.67;1.53;66.67;116.67;107.52;35.39;52427754.46
Case 87;240.00;340.00;96.67;1.53;66.67;123.33;107.61;28.72;52775380.07
Case 88;240.00;340.00;96.67;1.53;66.67;130.00;107.64;22.08;52612393.47
Case 89;240.00;340.00;96.67;1.53;73.33;110.00;108.52;40.99;51869225.89
Case 90;240.00;340.00;96.67;1.53;73.33;116.67;108.88;34.03;53747805.45
Case 91;240.00;340.00;96.67;1.53;73.33;123.33;108.99;27.35;54001539.52
Case 92;240.00;340.00;96.67;1.53;73.33;130.00;109.03;20.69;53751793.40
Case 93;240.00;340.00;96.67;1.53;80.00;110.00;109.72;39.81;52985195.50
Case 94;240.00;340.00;96.67;1.53;80.00;116.67;110.20;32.77;55054858.56
